Word,Bangla Meaning (বাংলা অর্থ),Easy English Sentence
baroque,জাঁকজমকপূর্ণ / অলঙ্কৃত,The palace has a baroque design.
byzantine,জটিল / দুর্বোধ্য,The rules of this system are byzantine.
compromise,সমঝোতা / আপস,They reached a compromise after a long talk.
conciliatory,শান্তিপ্রিয় / মীমাংসাপ্রবণ,He spoke in a conciliatory tone to end the fight.
countenance,মুখমণ্ডল / অনুমোদন,Her calm countenance made everyone feel safe.
covert,গোপন / লুকানো,They held a covert meeting at night.
credible,বিশ্বাসযোগ্য / নির্ভরযোগ্য,The witness gave a credible statement.
diffuse,ছড়িয়ে দেওয়া / বিস্তৃত,The smell of flowers diffused through the room.
documentary,প্রামাণ্যচিত্র / দলিলভিত্তিক,We watched a documentary about space.
exhaustive,সম্পূর্ণ / বিস্তারিত,The report was exhaustive and covered all topics.
exhilarating,উত্তেজনাপূর্ণ / আনন্দদায়ক,Skydiving was an exhilarating experience.
extraneous,অপ্রাসঙ্গিক / অপ্রয়োজনীয়,Remove any extraneous details from your essay.
fervor,উদ্দীপনা / তীব্র আগ্রহ,He spoke with great fervor about his dream.
futile,ব্যর্থ / ফলহীন,All our efforts were futile in stopping the storm.
illusory,মায়াময় / ভ্রমমূলক,His success was illusory and short-lived.
invidious,বিরক্তিকর / অন্যায়ভাবে পার্থক্যকারী,The manager made an invidious comparison between workers.
lethargic,অলস / উদাসীন,He felt lethargic after the long journey.
metaphorical,রূপক / প্রতীকী,The poem uses metaphorical language.
mimic,অনুকরণ করা / নকল করা,The child can mimic his teacher’s voice perfectly.
numinous,পবিত্র / আধ্যাত্মিক,The old temple had a numinous atmosphere.
obscure,অস্পষ্ট / অজানা,The meaning of this poem is obscure.
overt,প্রকাশ্য / স্পষ্ট,His overt kindness impressed everyone.
pellucid,স্বচ্ছ / পরিষ্কার,The lake water was pellucid and beautiful.
perpetuate,স্থায়ী করা / চিরস্থায়ী করা,This tradition helps to perpetuate their culture.
rational,যুক্তিসঙ্গত / বিবেচক,Always make a rational decision.
scathing,কঠোর / তীব্র সমালোচনামূলক,The teacher gave a scathing review of the essay.
subtle,সূক্ষ্ম / ধরা কঠিন,There was a subtle change in her voice.
superficial,উপর উপর / গভীর নয়,His knowledge of the topic is superficial.
,,
acquiesce,অনিচ্ছায় মেনে নেওয়া,He finally acquiesced to his boss’s decision.
adroit,দক্ষ / চতুর,She is adroit at solving puzzles quickly.
amend,সংশোধন করা / উন্নতি করা,The government plans to amend the old law.
animus,বিদ্বেষ / শত্রুতা,There was no animus between the two teams.
apologist,পক্ষসমর্থক / যুক্তি-প্রদর্শক,He is an apologist for free speech.
astringent,কষাটে / কঠোর,His astringent comments hurt her feelings.
collaborate,একসাথে কাজ করা,The two artists collaborated on a new project.
competent,যোগ্য / সক্ষম,She is a competent engineer.
correlate,সম্পর্কযুক্ত করা,Exercise and health strongly correlate.
deride,উপহাস করা / ঠাট্টা করা,Some people derided his simple lifestyle.
dictate,নির্দেশ দেওয়া,The manager dictated a letter to his assistant.
discreet,বিচক্ষণ / সাবধানী,She was discreet about her personal matters.
divorced,পৃথক / আলাদা,His ideas seem divorced from reality.
elitist,অভিজাতবাদী / শ্রেষ্ঠত্ববাদী,The club was criticized for its elitist attitude.
exacting,কঠোর / দাবিদার,The teacher is exacting but fair.
flummoxed,হতবুদ্ধি / বিভ্রান্ত,I was flummoxed by the strange question.
fruitful,ফলপ্রসূ / সফল,Their meeting was very fruitful.
inborn,জন্মগত / স্বভাবজাত,She has an inborn talent for painting.
polymath,বহু বিষয়ে জ্ঞানী,Leonardo da Vinci was a true polymath.
reticent,মিতভাষী / সংযত,He is reticent about his private life.
stringent,কঠোর / কঠিন,The new rules are very stringent.
subservient,অনুগত / অধীনস্থ,He was always subservient to his boss.
surreptitious,গোপনে / চুপিচুপি,They took a surreptitious photo during the exam.
tantalizing,লোভনীয় / আকর্ষণীয়,The smell of food was tantalizing.
tantamount,সমান / প্রায় একই,His silence was tantamount to an admission of guilt.
torpor,অক্রিয়তা / উদাসীনতা,"After lunch, he felt a state of torpor."
trenchant,তীক্ষ্ণ / স্পষ্ট,Her trenchant criticism improved the report.
umbrage,বিরক্তি / অপমানবোধ,He took umbrage at her rude comment.
versatile,বহুমুখী / বহু প্রতিভাধর,She is a versatile singer and actor.
wayward,একগুঁয়ে / নিয়ন্ত্রণহীন,His wayward behavior worried his parents.
,,
alienate,বিচ্ছিন্ন করা / দূরে সরানো,His rude words alienated his friends.
apathy,উদাসীনতা / অনাগ্রহ,There was apathy among voters during the election.
apropos,প্রাসঙ্গিক / যথাযথ,His remark was very apropos to the situation.
apt,উপযুক্ত / চতুর,That was an apt description of her mood.
cloak,লুকানো / গোপন রাখা,He tried to cloak his true intentions.
consensus,সর্বসম্মতি / ঐক্যমত,The group reached a consensus after discussion.
distort,বিকৃত করা / ভুলভাবে উপস্থাপন করা,The media distorted the real story.
divergent,ভিন্নমুখী / আলাদা,They have divergent opinions on the issue.
elated,আনন্দিত / উৎফুল্ল,She was elated after hearing the good news.
enchant,মুগ্ধ করা / মোহিত করা,The beautiful song enchanted the audience.
entrenched,গভীরভাবে প্রোথিত / স্থায়ী,His beliefs are deeply entrenched in tradition.
exotic,বিদেশি / অদ্ভুত,We tried some exotic fruits on our trip.
exploitative,শোষণমূলক,The workers protested against exploitative conditions.
foreseeable,অনুমানযোগ্য / আগাম জানা যায় এমন,Prices will stay stable for the foreseeable future.
forsake,ত্যাগ করা / পরিত্যাগ করা,He promised never to forsake his friends.
gratify,সন্তুষ্ট করা / আনন্দিত করা,Her success gratified her parents.
heed,মনোযোগ দেওয়া / খেয়াল রাখা,You should heed the teacher’s advice.
judicious,বিচক্ষণ / সুবিবেচিত,He made a judicious choice of words.
lucid,পরিষ্কার / সহজবোধ্য,Her explanation was simple and lucid.
pertinent,প্রাসঙ্গিক / সম্পর্কিত,Your question is pertinent to the topic.
propriety,শালীনতা / ভদ্রতা,He behaved with great propriety at the event.
scintillating,ঝলমলে / উজ্জ্বল,It was a scintillating performance by the actor.
sensational,উত্তেজনাপূর্ণ / চমকপ্রদ,The movie became a sensational hit.
sophisticated,উন্নত / পরিশীলিত,She has a sophisticated taste in fashion.
strife,বিরোধ / সংঘাত,The country has been torn by political strife.
understated,সংযত / অতিরঞ্জিত নয়,His acting style is natural and understated.
unscrupulous,অসৎ / অনৈতিক,The company fired its unscrupulous manager.
veracity,সত্যতা / নির্ভুলতা,The journalist questioned the veracity of the report.
virulent,মারাত্মক / বিষাক্ত,It was a virulent strain of the virus.
volatile,অস্থির / পরিবর্তনশীল,The market is too volatile to invest in now.
,,
antedate,পূর্ববর্তী হওয়া / আগে ঘটানো,The invention of the wheel antedates recorded history.
banish,নির্বাসিত করা / তাড়িয়ে দেওয়া,He was banished from the kingdom.
bridle,নিয়ন্ত্রণ করা / লাগাম টানা,She tried to bridle her anger.
comply,মেনে চলা / অনুসরণ করা,You must comply with the school rules.
crestfallen,হতাশ / মনমরা,He looked crestfallen after losing the game.
curtail,হ্রাস করা / সংক্ষিপ্ত করা,The company curtailed unnecessary expenses.
elucidate,পরিষ্কারভাবে ব্যাখ্যা করা,The teacher elucidated the complex topic.
evade,এড়িয়ে চলা / ফাঁকি দেওয়া,He tried to evade the question.
feckless,অদক্ষ / দুর্বল,His feckless leadership caused the project to fail.
fester,পচে যাওয়া / আরও খারাপ হওয়া,The wound began to fester after a few days.
iconoclastic,প্রথাবিরোধী / প্রচলিত নিয়ম ভঙ্গকারী,His iconoclastic ideas shocked traditionalists.
immure,বন্দি করা / সীমাবদ্ধ করা,The monks were immured in the monastery.
improvise,তাৎক্ষণিকভাবে কিছু তৈরি করা,He had to improvise a speech without preparation.
inhibit,বাধা দেওয়া / সংযত করা,Fear can inhibit your ability to speak in public.
inscrutable,দুর্বোধ্য / রহস্যময়,His inscrutable face revealed nothing.
lionize,প্রশংসা করা / নায়ক হিসেবে গণ্য করা,The media lionized the young scientist.
monotonous,একঘেয়ে / বিরক্তিকর,His voice was dull and monotonous.
peculiar,অদ্ভুত / বিশেষ,She has a peculiar way of dressing.
premeditate,পূর্বপরিকল্পনা করা,The murder was clearly premeditated.
profligate,অপচয়ী / বিলাসী,He led a profligate lifestyle.
reconcile,মিটমাট করা / পুনর্মিলিত করা,They finally reconciled after years of conflict.
refine,পরিশোধন করা / উন্নত করা,The company refined its production process.
relinquish,ত্যাগ করা / ছেড়ে দেওয়া,She refused to relinquish her position.
ruminate,গভীরভাবে চিন্তা করা,He sat alone to ruminate on his future.
skittish,চঞ্চল / ভীতু,The horse became skittish at the sound of thunder.
superfluous,অপ্রয়োজনীয় / অতিরিক্ত,Delete any superfluous words from your essay.
synoptic,সারসংক্ষেপমূলক,The book provides a synoptic view of history.
thorough,সম্পূর্ণ / নিখুঁত,She gave the room a thorough cleaning.
visionary,দূরদর্শী / কল্পনাপ্রবণ,He is a visionary leader with big ideas.
vociferous,উচ্চকণ্ঠ / জোরালো,The crowd became vociferous in their protest.
,,
acclaim,প্রশংসা করা / প্রশংসা,The movie received worldwide acclaim.
ascertain,নিশ্চিতভাবে জানা,The police are trying to ascertain the facts.
assertive,আত্মবিশ্বাসী / দৃঢ়,She is assertive in expressing her opinions.
bogus,ভুয়া / মিথ্যা,He gave a bogus excuse for being late.
cataclysmic,বিপর্যয়কর / ধ্বংসাত্মক,The earthquake had cataclysmic effects.
circumscribe,সীমাবদ্ধ করা / বেষ্টন করা,Their rights were circumscribed by law.
complementary,পরিপূরক / সম্পূরক,The two skills are complementary to each other.
contentious,বিতর্কিত / ঝগড়াটে,It’s a contentious issue among politicians.
disingenuous,কপট / ভণ্ডামিপূর্ণ,His apology seemed disingenuous.
divulge,প্রকাশ করা / ফাঁস করা,She refused to divulge any secrets.
dogmatic,একগুঁয়ে / মতবাদে অনড়,He is dogmatic about his religious views.
fallacious,ভ্রান্ত / ভুল,The argument is based on fallacious reasoning.
foolhardy,বেপরোয়া / বোকামিপূর্ণ সাহসী,It was foolhardy to climb without safety gear.
hinder,বাধা দেওয়া / বিঘ্ন ঘটানো,The rain hindered our journey.
impair,ক্ষতিগ্রস্ত করা / দুর্বল করা,Smoking can impair your health.
impugn,প্রশ্ন করা / সন্দেহ প্রকাশ করা,They impugned his honesty.
incessant,অবিরাম / নিরবচ্ছিন্ন,The incessant noise kept me awake all night.
inclined,আগ্রহী / ঝোঁকযুক্ত,She is inclined to believe his story.
inveterate,অভ্যাসগত / দৃঢ়ভাবে স্থায়ী,He is an inveterate smoker.
miserly,কৃপণ / অত্যন্ত মিতব্যয়ী,The miserly man never donated money.
patent,সুস্পষ্ট / প্রকাশ্য,It was a patent lie.
petulant,খিটখিটে / বদমেজাজি,He became petulant when things didn’t go his way.
pithy,সংক্ষিপ্ত ও অর্থপূর্ণ,His pithy remarks made everyone laugh.
pliant,নমনীয় / সহজে বাঁকানো,Gold is a soft and pliant metal.
sanctimonious,ভণ্ড ধার্মিক / আত্মসন্তুষ্ট,People dislike his sanctimonious attitude.
sound,শক্ত / নির্ভরযোগ্য,Her argument was based on sound logic.
tarnish,কলঙ্কিত করা / উজ্জ্বলতা নষ্ট করা,His reputation was tarnished by the scandal.
tepid,উষ্ণ / আগ্রহহীন,The audience gave only tepid applause.
upbraid,ভর্ৎসনা করা / বকাঝকা করা,The teacher upbraided the student for cheating.
vexation,বিরক্তি / ক্ষোভ,He sighed in vexation after hearing the news.
,,
abet,সহায়তা করা / উসকানি দেওয়া,He was arrested for abetting the thief.
accessible,সহজে পৌঁছানো যায় / বোধগম্য,The park is easily accessible by bus.
acquisitive,লোভী / সম্পদলিপ্সু,He has an acquisitive nature and wants more money.
amalgamate,একত্রিত করা / মিলিত করা,The two companies decided to amalgamate.
attenuate,দুর্বল করা / হ্রাস করা,The medicine will attenuate the pain.
augment,বৃদ্ধি করা / বাড়ানো,They plan to augment the staff with new hires.
aversion,বিরাগ / ঘৃণা,She has an aversion to spicy food.
blithe,আনন্দিত / নিরুদ্বেগ,He had a blithe attitude toward the problem.
contempt,ঘৃণা / তাচ্ছিল্য,He looked at the criminal with contempt.
dawdle,অলসভাবে সময় নষ্ট করা,Don’t dawdle; we’ll be late!
deflect,মোড় নেওয়া / দিক পরিবর্তন করা,The shield deflected the bullet.
discount,উপেক্ষা করা / ছাড় দেওয়া,Don’t discount his advice; he’s experienced.
dissident,মতভেদকারী / বিরোধী,The government arrested the dissident leader.
efficacious,কার্যকর / ফলপ্রসূ,The new drug proved highly efficacious.
equitable,ন্যায়সঙ্গত / সমান,The judge gave an equitable decision.
erratic,অনিয়মিত / অস্থির,His driving was erratic and dangerous.
industrious,পরিশ্রমী / কর্মঠ,She is an industrious student.
inform,জানানো / অবহিত করা,Please inform me of any changes.
irksome,বিরক্তিকর / ঝামেলাপূর্ণ,Waiting for long hours is irksome.
manacle,শিকল পরানো / সীমাবদ্ধ করা,The prisoner was manacled to the wall.
modest,বিনয়ী / সাধারণ,She is modest about her achievements.
noxious,ক্ষতিকর / বিষাক্ত,The factory released noxious fumes.
pernicious,মারাত্মক / ক্ষতিকর,Smoking has a pernicious effect on health.
predicament,বিপদজনক অবস্থা / সংকট,We’re in a difficult predicament now.
proficient,দক্ষ / পারদর্শী,He is proficient in English and math.
prolix,দীর্ঘ ও বিরক্তিকর / বাগাড়ম্বরপূর্ণ,His prolix speech bored the audience.
scorn,অবজ্ঞা / তুচ্ছ করা,She scorned his rude comment.
subordinate,অধীনস্থ / নিম্নস্তরের,He works as a subordinate officer.
unseemly,অনুপযুক্ত / অশোভন,His behavior at the event was unseemly.
veritable,প্রকৃত / সত্যিকার,The city is a veritable paradise for food lovers.
,,
acolyte,সহকারী / অনুসারী,The priest was helped by his acolyte.
anoint,অভিষিক্ত করা / তেল লাগানো,The king was anointed with holy oil.
base,নীচ / নিকৃষ্ট,His base motives were revealed later.
coercion,জোরপূর্বক বাধ্য করা,The confession was obtained by coercion.
coin,নতুন শব্দ তৈরি করা / মুদ্রা তৈরি করা,She coined a new term for the process.
cunning,ধূর্ত / চতুর,The cunning fox escaped the trap.
discomfit,বিপর্যস্ত করা / বিব্রত করা,The question discomfited the politician.
dissent,মতবিরোধ / আপত্তি,One member voiced his dissent during the vote.
distill,নির্যাস বের করা / সারাংশ তৈরি করা,The writer distilled the story into a few pages.
dubious,সন্দেহজনক / অবিশ্বাস্য,His claim sounds dubious.
ebullient,উদ্দীপ্ত / উৎফুল্ল,She was ebullient after hearing the good news.
facetious,মজার ছলে বলা / রসিক,Don’t be facetious about serious matters.
fallible,ভুল করতে সক্ষম / ভ্রান্তিপ্রবণ,All humans are fallible.
florid,রঙিন / অতিরিক্ত অলঙ্কৃত,His florid writing style was hard to read.
gawky,অদক্ষ / বিশ্রীভাবে বড়,The tall boy looked gawky in his new suit.
inveigle,প্ররোচিত করা / কৌশলে রাজি করানো,He inveigled her into signing the paper.
jettison,পরিত্যাগ করা / ফেলে দেওয়া,The crew had to jettison cargo to save the ship.
mendacity,মিথ্যাচার / অসত্যতা,The report exposed the mendacity of the politician.
munificent,উদার / দানশীল,The billionaire made a munificent donation.
naive,সরল / অভিজ্ঞতাহীন,She is too naive to see his tricks.
noble,মহান / উচ্চমানের,He comes from a noble family.
parochial,সংকীর্ণ / সীমাবদ্ধ,His parochial views prevent him from learning.
pedestrian,একঘেয়ে / সাধারণ,The essay was dull and pedestrian.
prevaricate,সত্য এড়িয়ে যাওয়া / ঘুরিয়ে বলা,Stop prevaricating and tell the truth.
prime,প্রধান / মৌলিক,Good health is the prime concern.
radical,মূলগত / চরম,He proposed some radical changes.
recrudescent,পুনরায় প্রকাশিত / পুনরায় জেগে ওঠা,The disease became recrudescent in winter.
temporal,জাগতিক / অস্থায়ী,"He focuses on temporal success, not spiritual."
transitory,ক্ষণস্থায়ী / অস্থায়ী,"Life is transitory, so enjoy every moment."
viable,কার্যকর / সম্ভবপর,This plan is not economically viable.
,,
abject,নিকৃষ্ট / দুঃখজনক,He lived in abject poverty.
amicable,সৌহার্দপূর্ণ,They reached an amicable agreement.
animosity,শত্রুতা / ঘৃণা,There was deep animosity between the two rivals.
aver,ঘোষণা করা / দৃঢ়ভাবে বলা,She averred that she was innocent.
barrage,প্রচণ্ড আক্রমণ / প্রশ্নবাণ,The speaker faced a barrage of questions.
cathartic,মানসিক মুক্তিদায়ক,Writing about his feelings was a cathartic experience.
decipher,পাঠোদ্ধার করা / বুঝে ফেলা,Can you decipher this handwriting?
delusion,ভ্রান্ত ধারণা,He suffered from the delusion that he was famous.
dispense,বিতরণ করা / প্রদান করা,The machine dispenses soft drinks.
eloquent,বাকপটু / প্রাঞ্জল,Her speech was eloquent and moving.
enthrall,মুগ্ধ করা / বিমোহিত করা,The magician’s tricks enthralled the children.
eradicate,নির্মূল করা / দূর করা,We must eradicate poverty from society.
fledgling,নবীন / অনভিজ্ঞ,The fledgling company quickly gained popularity.
fortitude,সাহস / ধৈর্য,She showed great fortitude during hard times.
fortuitous,আকস্মিক / সৌভাগ্যজনক,Their meeting was purely fortuitous.
goad,উসকে দেওয়া / প্ররোচিত করা,His words goaded me into action.
imminent,আসন্ন / ঘনিয়ে আসছে,A storm is imminent tonight.
incontrovertible,অখণ্ডনীয় / অনস্বীকার্য,The evidence is incontrovertible.
itinerant,ভ্রাম্যমাণ / পরিভ্রমণকারী,He worked as an itinerant musician.
magnanimous,উদার / মহানুভব,He was magnanimous in victory.
meritorious,প্রশংসনীয় / যোগ্য,She received an award for her meritorious service.
mutiny,বিদ্রোহ / অভ্যুত্থান,The sailors led a mutiny against their captain.
paradoxical,আপাতবিরোধী,It’s paradoxical that the poorest people are often the happiest.
perseverance,অধ্যবসায় / ধৈর্য,Success requires hard work and perseverance.
render,প্রদান করা / পরিণত করা,The shock rendered him speechless.
repertoire,তালিকা / সংগ্রহ,The singer added a new song to her repertoire.
resilient,দৃঢ় / পুনরুদ্ধারক্ষম,Children are often more resilient than adults.
resolute,দৃঢ়প্রতিজ্ঞ / স্থিরসংকল্প,She remained resolute in her decision.
supple,নমনীয় / সহজে বাঁকানো যায় এমন,The dancer’s body was flexible and supple.
valor,বীরত্ব / সাহস,His valor in battle was admired by all.
,,
arresting,আকর্ষণীয় / মনোমুগ্ধকর,The painting is truly arresting.
chastise,শাস্তি দেওয়া / ভর্ৎসনা করা,The teacher chastised the student for being late.
cumbersome,ভারী / ঝামেলাপূর্ণ,The old TV was too cumbersome to move.
economy,মিতব্যয়িতা / অর্থনীতি,We must practice economy in our spending.
elementary,প্রাথমিক / সহজ,She learned some elementary French.
embellish,অলংকৃত করা / সুন্দর করা,He embellished his story with imaginary details.
euphoric,উচ্ছ্বসিত / আনন্দিত,The fans were euphoric after the victory.
exonerate,মুক্ত করা / নির্দোষ ঘোষণা করা,The court exonerated him of all charges.
extrapolate,অনুমান করা / বিশ্লেষণ করে নির্ধারণ করা,We can extrapolate future sales from current data.
falter,দ্বিধাগ্রস্ত হওয়া / দুর্বল হওয়া,His voice faltered as he gave the speech.
fervent,তীব্র / উদ্দীপ্ত,He is a fervent supporter of education reform.
foment,উসকে দেওয়া / বিদ্রোহ সৃষ্টি করা,The rebel leader fomented violence.
gaffe,ভুল / অসতর্ক মন্তব্য,The politician’s gaffe embarrassed everyone.
heterodox,প্রচলিত মতের বিপরীত / ভিন্নমতাবলম্বী,His heterodox ideas shocked the conservatives.
histrionic,নাটকীয় / অতিরঞ্জিত,Her histrionic reaction made everyone laugh.
implicit,অন্তর্নিহিত / পরোক্ষ,There was an implicit trust between them.
inviolate,অম্লান / অবিকৃত,Their privacy must remain inviolate.
liability,দায় / বাধ্যবাধকতা,The company’s debts are a major liability.
obstinate,একগুঁয়ে / অনমনীয়,He is too obstinate to admit his mistake.
painstaking,যত্নবান / পরিশ্রমী,The work required painstaking attention to detail.
phlegmatic,স্থির / অনাড়ম্বর,He remained phlegmatic even in crisis.
prodigious,বিশাল / আশ্চর্যজনক,The child showed prodigious talent in music.
propensity,প্রবণতা / ঝোঁক,He has a propensity for forgetfulness.
qualm,সংশয় / অস্বস্তি,She had no qualms about accepting the offer.
renege,অস্বীকার করা / প্রতিশ্রুতি ভঙ্গ করা,He reneged on his promise.
stinting,কৃপণ / কম পরিমাণে দেওয়া,He is stinting when it comes to spending money.
temper,সংযম রাখা / নরম করা,She tried to temper her anger.
tentative,অনিশ্চিত / অস্থায়ী,We made tentative plans for the trip.
unprecedented,অভূতপূর্ব / নজিরবিহীন,The country faced an unprecedented crisis.
vivacious,প্রাণবন্ত / চঞ্চল,She has a vivacious personality.
,,
allusive,ইঙ্গিতপূর্ণ / পরোক্ষভাবে বলা,His speech was allusive but clear enough to understand.
astute,বুদ্ধিমান / চতুর,She is an astute businesswoman.
commence,শুরু করা,The meeting will commence at 10 a.m.
convalescent,আরোগ্যলাভরত / রোগমুক্তির পথে,The convalescent patient is recovering well.
curb,নিয়ন্ত্রণ করা / দমন করা,The government took steps to curb inflation.
decry,নিন্দা করা / সমালোচনা করা,They decried the unfair treatment of workers.
duress,জোরপূর্বক / চাপের মধ্যে,He confessed under duress.
evoke,স্মরণ করিয়ে দেওয়া / জাগিয়ে তোলা,The music evoked memories of his childhood.
fawn,চাটুকারিতা করা / তোষামোদ করা,The employee fawned over his boss.
fret,দুশ্চিন্তা করা / অস্থির হওয়া,Don’t fret over small problems.
glib,মুখে মুখে বলা / তড়িঘড়ি করা,His glib answers made her suspicious.
headstrong,একগুঁয়ে / জেদী,The headstrong boy refused to listen to advice.
intermittent,মাঝে মাঝে / বিছিন্নভাবে,There were intermittent rains throughout the day.
ire,ক্রোধ / রাগ,His rude remarks aroused everyone’s ire.
languid,ক্লান্ত / অলস,He gave a languid wave to his friends.
lull,সাময়িক শান্তি / থামানো,The rain lulled for a while and then started again.
mettlesome,সাহসী / উদ্যমী,The mettlesome soldier led the charge.
mollify,শান্ত করা / প্রশমিত করা,She tried to mollify her angry friend.
neutralize,নিস্ক্রিয় করা / প্রতিরোধ করা,The medicine neutralized the acid in his stomach.
nonplussed,হতবুদ্ধি / বিভ্রান্ত,He was nonplussed by the unexpected question.
precipitous,খাড়া / হঠাৎ,They climbed the precipitous mountain trail.
pretentious,দাম্ভিক / দেখনদার,His pretentious speech annoyed everyone.
profound,গভীর / গভীরভাবে চিন্তিত,The teacher gave a profound explanation.
propagate,ছড়িয়ে দেওয়া / প্রচার করা,The organization aims to propagate peace.
recourse,আশ্রয় / সাহায্য,He had no recourse but to ask for help.
refute,খণ্ডন করা / অস্বীকার করা,The scientist refuted the false claims.
regress,পশ্চাদপসরণ করা / আগের অবস্থায় ফেরা,"Without practice, you will regress in skill."
repercussion,প্রতিক্রিয়া / ফলাফল,His decision had serious repercussions.
replenish,পূরণ করা / পুনরায় ভরাট করা,Please replenish the water bottles.
vigilant,সতর্ক / সজাগ,The guards remained vigilant throughout the night.
,,
assail,আক্রমণ করা / কটূভাবে সমালোচনা করা,The media assailed the government for corruption.
benevolent,দয়ালু / পরোপকারী,He is a benevolent leader who helps the poor.
berate,বকাঝকা করা / তিরস্কার করা,She berated her son for being careless.
buoyant,প্রফুল্ল / ভাসমান,She was in a buoyant mood after getting the job.
buttress,সমর্থন করা / মজবুত করা,The theory is buttressed by strong evidence.
condone,ক্ষমা করা / উপেক্ষা করা,The teacher could not condone cheating.
contravene,লঙ্ঘন করা / বিরোধিতা করা,His actions contravened the company’s rules.
denounce,নিন্দা করা / প্রকাশ্যে দোষারোপ করা,The leader denounced the act of violence.
despotic,স্বৈরাচারী / একনায়কতান্ত্রিক,The despotic ruler silenced all opposition.
deviate,পথভ্রষ্ট হওয়া / সরে যাওয়া,You must not deviate from the plan.
disinterested,নিরপেক্ষ / পক্ষপাতহীন,A judge must be completely disinterested.
escalate,বৃদ্ধি পাওয়া / তীব্র হওয়া,The conflict escalated into a full-scale war.
exorcise,তাড়ানো / অপদেবতা দূর করা,The priest tried to exorcise the evil spirit.
finicky,খুঁতখুঁতে / অতিরিক্ত বাছাবাছি করা,She’s so finicky about her food.
foil,ব্যর্থ করা / প্রতিরোধ করা,The police foiled the robbery attempt.
intertwined,জটিলভাবে জড়ানো / সম্পর্কযুক্ত,Their lives are closely intertwined.
inundate,প্লাবিত করা / উপচে পড়া,The village was inundated by floodwaters.
ironclad,অটল / ভাঙনরোধী,They signed an ironclad agreement.
jeopardize,বিপন্ন করা / ঝুঁকিতে ফেলা,Don’t jeopardize your future with bad decisions.
mercurial,অস্থির / চঞ্চল,His mercurial mood makes him hard to work with.
oblivious,অজ্ঞ / খেয়ালহীন,He was oblivious to the danger around him.
perpetrate,অপরাধ করা / সংঘটিত করা,The gang perpetrated a serious crime.
plaintive,বিষণ্ণ / করুণ,Her plaintive song moved everyone to tears.
poignant,হৃদয়স্পর্শী / করুণ,It was a poignant story of love and loss.
quiescent,শান্ত / নিষ্ক্রিয়,The volcano remained quiescent for years.
reiterate,পুনরাবৃত্তি করা,Let me reiterate my point once more.
subside,থেমে যাওয়া / কমে যাওয়া,The pain will subside after taking medicine.
subsume,অন্তর্ভুক্ত করা / গোষ্ঠীভুক্ত করা,These ideas are subsumed under modern theory.
surmount,অতিক্রম করা / জয় করা,He surmounted all obstacles to achieve success.
tangential,পার্শ্ববর্তী / অপ্রাসঙ্গিক,His comment was tangential to the main topic.
,,
adept,দক্ষ / পটু,She is adept at solving complex problems.
adverse,প্রতিকূল / বিরূপ,The plan failed due to adverse weather conditions.
appropriate,উপযুক্ত / যথাযথ,That dress is appropriate for the occasion.
archetype,আদিরূপ / মূল নমুনা,He is the archetype of a true hero.
articulate,স্পষ্টভাবে প্রকাশ করা / বাগ্মী,She is very articulate and confident in speech.
auspicious,শুভ / মঙ্গলজনক,They chose an auspicious day for the wedding.
bereft,বঞ্চিত / শূন্য,He felt bereft after his friend moved away.
captious,খুঁতখুঁতে / ত্রুটি ধরতে পছন্দ করে,His captious remarks annoyed everyone.
conclusive,নিশ্চিত / চূড়ান্ত,The evidence was conclusive and left no doubt.
conspire,ষড়যন্ত্র করা,The thieves conspired to rob the bank.
delineate,চিত্রিত করা / স্পষ্টভাবে বর্ণনা করা,The map clearly delineates the country’s borders.
disentangle,জট খুলে ফেলা / মুক্ত করা,She tried to disentangle her hair from the brush.
exhort,অনুরোধ করা / উত্সাহিত করা,The coach exhorted the team to play harder.
frailty,দুর্বলতা / ভঙ্গুরতা,Old age brings physical frailty.
grievance,অভিযোগ / কষ্ট,He filed a grievance about unfair treatment.
harangue,জোরালো বক্তৃতা / তিরস্কার,The politician gave a long harangue on corruption.
ploy,কৌশল / চাল,It was just a clever ploy to gain attention.
poise,ভারসাম্য / আত্মসংযম,She handled the situation with great poise.
pomposity,দাম্ভিকতা / অহংকার,His pomposity made him unpopular among peers.
proxy,প্রতিনিধি / বিকল্প,She attended the meeting as her boss’s proxy.
relent,নরম হওয়া / দয়া দেখানো,The storm finally relented after hours.
rhetoric,অলঙ্কারপূর্ণ ভাষা / বাকপটুতা,His speech was full of political rhetoric.
rigor,কঠোরতা / নির্ভুলতা,The scientist conducted the experiment with rigor.
sparse,বিরল / অপ্রচুর,Vegetation is sparse in the desert.
steadfast,অবিচল / দৃঢ়,He remained steadfast in his beliefs.
suspect,সন্দেহ করা / সন্দেহভাজন,Police suspect him of theft.
tedious,একঘেয়ে / ক্লান্তিকর,The lecture was long and tedious.
vitality,প্রাণশক্তি / জীবনীশক্তি,Exercise increases your vitality.
whimsical,খামখেয়ালী / অদ্ভুতভাবে কল্পনাপ্রবণ,She has a whimsical sense of fashion.
yield,উৎপন্ন করা / আত্মসমর্পণ করা,The farm yields good crops every year.
,,
apprehension,আশঙ্কা / ভয়,She felt apprehension before the exam.
ardent,উৎসাহী / উদ্দীপ্ত,He is an ardent supporter of the team.
